lon,lat,value
120.18,21.97,0.0
120.24,21.97,0.0
120.3,21.97,0.0
120.36,21.97,0.0
120.42,21.97,0.0
120.48,21.97,0.0
120.54,21.97,0.0
120.6,21.97,0.0
120.66,21.97,0.0
120.72,21.97,0.0
120.78,21.97,0.0
120.84,21.97,0.0
120.9,21.97,0.0
120.96,21.97,0.0
121.02,21.97,0.0
121.08,21.97,0.0
121.14,21.97,0.0
121.2,21.97,0.0
121.26,21.97,0.0
121.32,21.97,0.0
121.38,21.97,0.0
121.44,21.97,0.0
121.5,21.97,0.0
121.56,21.97,0.0
121.62,21.97,0.0
121.68,21.97,0.0
121.74,21.97,0.0
121.8,21.97,0.0
121.86,21.97,0.0
121.92,21.97,0.0
121.98,21.97,0.0
120.03,22.0,0.0
120.09,22.0,0.0
120.15,22.0,0.0
120.21,22.0,0.0
120.27,22.0,0.0
120.33,22.0,0.0
120.39,22.0,0.0
120.45,22.0,0.0
120.51,22.0,0.0
120.57,22.0,0.0
120.63,22.0,0.0
120.69,22.0,0.0
120.75,22.0,0.0
120.81,22.0,0.0
120.87,22.0,0.0
120.93,22.0,0.0
120.99,22.0,0.0
121.05,22.0,0.0
121.11,22.0,0.0
121.17,22.0,0.0
121.23,22.0,0.0
121.29,22.0,0.0
121.35,22.0,0.0
121.41,22.0,0.0
121.47,22.0,0.0
121.53,22.0,0.0
121.59,22.0,0.0
121.65,22.0,0.0
121.71,22.0,0.0
121.77,22.0,0.0
121.83,22.0,0.0
121.89,22.0,0.0
121.95,22.0,0.0
120.0,22.029999999999998,0.0
120.06,22.029999999999998,0.0
120.12,22.029999999999998,0.0
120.18,22.029999999999998,0.0
120.24,22.029999999999998,0.0
120.3,22.029999999999998,0.0
120.36,22.029999999999998,0.0
120.42,22.029999999999998,0.0
120.48,22.029999999999998,0.0
120.54,22.029999999999998,0.0
120.6,22.029999999999998,0.0
120.66,22.029999999999998,0.0
120.72,22.029999999999998,0.0
120.78,22.029999999999998,0.0
120.84,22.029999999999998,0.0
120.9,22.029999999999998,0.0
120.96,22.029999999999998,0.0
120.99,22.029999999999998,28.1
121.02,22.029999999999998,0.0
121.08,22.029999999999998,0.0
121.14,22.029999999999998,0.0
121.2,22.029999999999998,0.0
121.26,22.029999999999998,0.0
121.32,22.029999999999998,0.0
121.38,22.029999999999998,0.0
121.44,22.029999999999998,0.0
121.5,22.029999999999998,0.0
121.56,22.029999999999998,0.0
121.62,22.029999999999998,0.0
121.68,22.029999999999998,0.0
121.74,22.029999999999998,0.0
121.8,22.029999999999998,0.0
121.86,22.029999999999998,0.0
121.92,22.029999999999998,0.0
121.98,22.029999999999998,0.0
120.03,22.06,0.0
120.09,22.06,0.0
120.15,22.06,0.0
120.21,22.06,0.0
120.27,22.06,0.0
120.33,22.06,0.0
120.39,22.06,0.0
120.45,22.06,0.0
120.51,22.06,0.0
120.57,22.06,0.0
120.63,22.06,0.0
120.69,22.06,0.0
120.75,22.06,0.0
120.81,22.06,0.0
120.87,22.06,0.0
120.93,22.06,0.0
120.99,22.06,0.0
121.05,22.06,0.0
121.11,22.06,0.0
121.17,22.06,0.0
121.23,22.06,0.0
121.29,22.06,0.0
121.35,22.06,0.0
121.41,22.06,0.0
121.47,22.06,0.0
121.53,22.06,0.0
121.59,22.06,0.0
121.65,22.06,0.0
121.71,22.06,0.0
121.77,22.06,0.0
121.83,22.06,0.0
121.89,22.06,0.0
121.95,22.06,0.0
120.0,22.09,0.0
120.06,22.09,0.0
120.12,22.09,0.0
120.18,22.09,0.0
120.24,22.09,0.0
120.3,22.09,0.0
120.36,22.09,0.0
120.42,22.09,0.0
120.48,22.09,0.0
120.54,22.09,0.0
120.6,22.09,0.0
120.66,22.09,0.0
120.72,22.09,0.0
120.75,22.09,28.6
120.78,22.09,0.0
120.81,22.09,28.6
120.84,22.09,0.0
120.87,22.09,27.8
120.9,22.09,0.0
120.93,22.09,26.5
120.96,22.09,0.0
120.99,22.09,28.7
121.02,22.09,0.0
121.08,22.09,0.0
121.14,22.09,0.0
121.2,22.09,0.0
121.26,22.09,0.0
121.32,22.09,0.0
121.38,22.09,0.0
121.44,22.09,0.0
121.5,22.09,0.0
121.56,22.09,0.0
121.62,22.09,0.0
121.68,22.09,0.0
121.74,22.09,0.0
121.8,22.09,0.0
121.86,22.09,0.0
121.92,22.09,0.0
121.98,22.09,0.0
120.03,22.119999999999997,0.0
120.09,22.119999999999997,0.0
120.15,22.119999999999997,0.0
120.21,22.119999999999997,0.0
120.27,22.119999999999997,0.0
120.33,22.119999999999997,0.0
120.39,22.119999999999997,0.0
120.45,22.119999999999997,0.0
120.51,22.119999999999997,0.0
120.57,22.119999999999997,0.0
120.63,22.119999999999997,0.0
120.69,22.119999999999997,0.0
120.75,22.119999999999997,0.0
120.81,22.119999999999997,0.0
120.87,22.119999999999997,0.0
120.93,22.119999999999997,0.0
120.99,22.119999999999997,0.0
121.05,22.119999999999997,0.0
121.11,22.119999999999997,0.0
121.17,22.119999999999997,0.0
121.23,22.119999999999997,0.0
121.29,22.119999999999997,0.0
121.35,22.119999999999997,0.0
121.41,22.119999999999997,0.0
121.47,22.119999999999997,0.0
121.53,22.119999999999997,0.0
121.59,22.119999999999997,0.0
121.65,22.119999999999997,0.0
121.71,22.119999999999997,0.0
121.77,22.119999999999997,0.0
121.83,22.119999999999997,0.0
121.89,22.119999999999997,0.0
121.95,22.119999999999997,0.0
120.0,22.15,0.0
120.06,22.15,0.0
120.12,22.15,0.0
120.18,22.15,0.0
120.24,22.15,0.0
120.3,22.15,0.0
120.36,22.15,0.0
120.42,22.15,0.0
120.48,22.15,0.0
120.54,22.15,0.0
120.6,22.15,0.0
120.66,22.15,0.0
120.72,22.15,0.0
120.75,22.15,28.6
120.78,22.15,0.0
120.81,22.15,28.6
120.84,22.15,0.0
120.87,22.15,28.1
120.9,22.15,0.0
120.93,22.15,28.5
120.96,22.15,0.0
120.99,22.15,28.6
121.02,22.15,0.0
121.08,22.15,0.0
121.14,22.15,0.0
121.2,22.15,0.0
121.26,22.15,0.0
121.32,22.15,0.0
121.38,22.15,0.0
121.44,22.15,0.0
121.5,22.15,0.0
121.56,22.15,0.0
121.62,22.15,0.0
121.68,22.15,0.0
121.74,22.15,0.0
121.8,22.15,0.0
121.86,22.15,0.0
121.92,22.15,0.0
121.98,22.15,0.0
120.03,22.18,0.0
120.09,22.18,0.0
120.15,22.18,0.0
120.21,22.18,0.0
120.27,22.18,0.0
120.33,22.18,0.0
120.39,22.18,0.0
120.45,22.18,0.0
120.51,22.18,0.0
120.57,22.18,0.0
120.63,22.18,0.0
120.69,22.18,0.0
120.75,22.18,0.0
120.81,22.18,0.0
120.87,22.18,0.0
120.93,22.18,0.0
120.99,22.18,0.0
121.05,22.18,0.0
121.11,22.18,0.0
121.17,22.18,0.0
121.23,22.18,0.0
121.29,22.18,0.0
121.35,22.18,0.0
121.41,22.18,0.0
121.47,22.18,0.0
121.53,22.18,0.0
121.59,22.18,0.0
121.65,22.18,0.0
121.71,22.18,0.0
121.77,22.18,0.0
121.83,22.18,0.0
121.89,22.18,0.0
121.95,22.18,0.0
120.0,22.209999999999997,0.0
120.06,22.209999999999997,0.0
120.12,22.209999999999997,0.0
120.18,22.209999999999997,0.0
120.24,22.209999999999997,0.0
120.3,22.209999999999997,0.0
120.36,22.209999999999997,0.0
120.42,22.209999999999997,0.0
120.48,22.209999999999997,0.0
120.54,22.209999999999997,0.0
120.6,22.209999999999997,0.0
120.66,22.209999999999997,0.0
120.72,22.209999999999997,0.0
120.75,22.209999999999997,28.5
120.78,22.209999999999997,0.0
